Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Battle of Punished Woman's Fork National Historic Site,"67871, Scott City",Scott City,4.8,73,38.6435538,-100.9279405,"tourist_attraction, point_of_interest, establishment","This was maybe the highlight of our trip. We came to the area for Little Jerusalem and were extremely disappointed due to what we were expecting. Since our expectations were already demolished, this place was such a pleasant surprise. The trails were well worn and fun to walk. The cave was full of water and seemed neat. There was plenty of plaques for reading to learn about the area making it a great stop."
Nerf Warz Battlefield & Arcade,"6821 E Kellogg Dr, Wichita",Wichita,3.8,104,37.6787028,-97.2572785,"point_of_interest, establishment","The kiddos love this place. Great for bday parties! One hour on the arena floor to battle with a ref. Then, an hour in room with pizza and water. They supplied plastic covers, plates, and napkins too. We brought cupcakes, cookies, and Capri sun drinks. Don't forget to bring cash for arcade, they have quarter machines. They kids had a blast playing games and attempting their luck at the claw machines."
Battle of Punished Woman's Fork National Historic Site,"67871, Scott City",Scott City,4.8,73,38.6435538,-100.9279405,"tourist_attraction, point_of_interest, establishment","This was maybe the highlight of our trip. We came to the area for Little Jerusalem and were extremely disappointed due to what we were expecting. Since our expectations were already demolished, this place was such a pleasant surprise. The trails were well worn and fun to walk. The cave was full of water and seemed neat. There was plenty of plaques for reading to learn about the area making it a great stop."
Black Jack Battlefield,"163 E 2000 Rd, Wellsville",Wellsville,4.7,85,38.7622179,-95.1329633,"tourist_attraction, point_of_interest, establishment",Mostly cut down trails.  Half shaded.  One of the bridges worries me but otherwise it's a pleasant area.  Lots of ticks this year.
Fort Titus,"640 E Woodson Ave, Lecompton",Lecompton,5.0,2,39.04431599999999,-95.3913306,"point_of_interest, establishment",Nice little park detailing the history of the fort.
Battle Boutique,"11716 W 95th St, Overland Park",Overland Park,5.0,5,38.9571183,-94.7215359,"point_of_interest, establishment","This is a great resource for breast cancer patients especially but for anyone really. They have a little bit of everything. Clothing, wigs, scarves, bras, pillow protectors for your seatbelt after surgery, handbags, hats, other assorted post mastectomy supplies, jewelry; really something for everyone. The owner & everyone working the store are so kind & helpful. Great place to shop & to donate to"
Black Jack Park,"2043 N 200 Rd, Wellsville",Wellsville,4.6,69,38.7672913,-95.128998,"park, tourist_attraction, point_of_interest, establishment","Beautiful and healthy prairie with a diverse range of wildflowers, grasses, and wildlife. The whole area has a great history (you can see clear evidence of the Santa Fe Trail) and there is a QR code you can scan on your phone for an audio tour along the trail if you so choose!"
Black Jack Battlefield,"163 E 2000 Rd, Wellsville",Wellsville,4.7,85,38.7622179,-95.1329633,"tourist_attraction, point_of_interest, establishment",Mostly cut down trails.  Half shaded.  One of the bridges worries me but otherwise it's a pleasant area.  Lots of ticks this year.
Battle at Blue Mills Landing,"39.202541, -94.372769, Liberty Township",Liberty Township,5.0,1,39.2022653,-94.3725935,"point_of_interest, establishment",
Battle Line at Railroad Cut,"1421 W Lexington Ave, Independence",Independence,4.0,2,39.0873598,-94.4322575,"point_of_interest, establishment","Glad  someone  took  the  time  to  create  this  place  on  google.  So  many  places  where historical  events go  unmarked  and  unlocated.  Not  to  much  here  other  than  the  marker  and  a  pocket  park.  This  was  more  of  skirmish  than  a  full  on  battle.  However,  it  is  important historically.  If  you  can  block  out  the  traffic  noise  you  can  get  a  sense  of  how  it  was  as  this  area  is  more  suburban  and  less  developed  than  the   main  parts  of  Independence."
F3 Ao-Battlefield,"585 W 52nd St, Kansas City",Kansas City,0.0,0,39.0348169,-94.5949717,"gym, health, point_of_interest, establishment",No description available
Nerf Warz Battlefield & Arcade,"6821 E Kellogg Dr, Wichita",Wichita,3.8,104,37.6787028,-97.2572785,"point_of_interest, establishment","The kiddos love this place. Great for bday parties! One hour on the arena floor to battle with a ref. Then, an hour in room with pizza and water. They supplied plastic covers, plates, and napkins too. We brought cupcakes, cookies, and Capri sun drinks. Don't forget to bring cash for arcade, they have quarter machines. They kids had a blast playing games and attempting their luck at the claw machines."
Mine Creek Civil War Battlefield State Historic Site,"20485 KS-52, Pleasanton",Pleasanton,4.6,129,38.1450211,-94.7234358,"park, tourist_attraction, point_of_interest, establishment","The museum did have some interesting artifacts, information and beautiful trails.  We were also warned about ticks.  Make sure that you spray yourself before you go on the trails."
Battle Of Island Mound State Historic Site,"NW County Raod 1002, Butler",Butler,4.6,89,38.2351761,-94.4398796,"tourist_attraction, park, point_of_interest, establishment","Easy stop, quick visit, but a cool piece of history. The trail was well maintained and the bathroom was also well maintained.  Check out my instagram post on this site: @mikeisoutside"
Black Jack Battlefield,"163 E 2000 Rd, Wellsville",Wellsville,4.7,85,38.7622179,-95.1329633,"tourist_attraction, point_of_interest, establishment",Mostly cut down trails.  Half shaded.  One of the bridges worries me but otherwise it's a pleasant area.  Lots of ticks this year.
Mine Creek Battlefield Interpretive Walking Trail,"20485 KS-52, Pleasanton",Pleasanton,0.0,0,38.14463689999999,-94.723532,"point_of_interest, establishment",No description available
Battlefield Cemetery,Pleasanton,Pleasanton,0.0,0,38.1221656,-94.7233876,"cemetery, point_of_interest, establishment",No description available
Battle Boutique,"11716 W 95th St, Overland Park",Overland Park,5.0,5,38.9571183,-94.7215359,"point_of_interest, establishment","This is a great resource for breast cancer patients especially but for anyone really. They have a little bit of everything. Clothing, wigs, scarves, bras, pillow protectors for your seatbelt after surgery, handbags, hats, other assorted post mastectomy supplies, jewelry; really something for everyone. The owner & everyone working the store are so kind & helpful. Great place to shop & to donate to"
Black Jack Park,"2043 N 200 Rd, Wellsville",Wellsville,4.6,69,38.7672913,-95.128998,"park, tourist_attraction, point_of_interest, establishment","Beautiful and healthy prairie with a diverse range of wildflowers, grasses, and wildlife. The whole area has a great history (you can see clear evidence of the Santa Fe Trail) and there is a QR code you can scan on your phone for an audio tour along the trail if you so choose!"
