city,description,location,state,longitude,latitude
Alma,"The Alma Cemetery is haunted for two reasons. One is the people who are buried there and refuse to leave. Some pictures have been taken during the night up there. (It's the best time.) The pictures were unbeleivable, there were orbs and mist figures in t",Alma Cemetery,Kansas,-96.2990179,39.016088
Alma,Wabaunsee High School is the Haunted by past students and teachers. Most of the students groups are those of students who never got to graduate from the high school because they died while attending it. Teachers and even students have experienced strange,Wabaunsee High School,Kansas,-96.2892193,39.0187264
Arcadia,When in this church day or night you can see shadows of people things come on when they are not plugged in and the lights come on by there self,the church of Gods word,Kansas,-95.4680869,37.6677732
Atchison,The local newspaper office's are said to be haunted by the ghost of an editor who died under mysterious circumstances. Several people who have been working late at night have been or heard the locked back door open and close by itself.,The Globe,Kansas,-95.1167769,39.5616302
Atchison,"It is said that on the stroke of midnight the terrifying screams of ""Molly"" can be heard. Molly was a beautiful young woman out with her date after prom. The next day Molly was found dead, hanging by her neck in one of the park trees down in the hallow o",Jackson Park,Kansas,-95.1178018,39.5439232
Blue Rapids,"Upon a hill there is a cemetery. It's unlike any other cemetery; It has no real paths leading up to it. It is an area about one half of an acre where several members of the Schroyer family were buried in the late 1800's. Today only one grave remains, the",Schroyer Cemetery,Kansas,-96.6674872,39.7049369
Burlingame,There have been reports for years of a man dressed in black walks the highway and disappears.,US 56 &amp; 189th Street,Kansas,-99.6343004,37.8773453
Canton,Supposedly on nights with a full moon you could see the shadow of a body hanging from a tree and hear the hoof beats.,Jones Cemetery,Kansas,-97.3862683,38.3835159
Chanute,when they changed Wal-mart to a super center a man who died(1978) in the parking lot was mad. now he haunts Wal-mart. he is known to play in the children's isle. (when he's happy) but when he's mad everything get cold an the power goes out on Hallo,Wal-Mart super center,Kansas,-95.450917,37.65365
Coffeyville,"This is a turn of the 20th century mansion that has had more than its share of tragedy. Despite his wealth, Mr. Brown lost all of his children but one in childhood. In the basement, employees tell of hearing bowling balls striking pins where the alley us",Brown Mansion,Kansas,-95.6144971,37.0199234
Coffeyville,"This is one of the oldest cemeteries in Coffeyville and has many graves over 100 years old, including the graves of the fallen Dalton Gang and the town's Defenders from the gun battle of October 5, 1892 that ensued when the Dalton Gang attempted to rob t",Elmwood Cemetery,Kansas,-95.6188542,37.0232568
Cummings,"Round Mound Cemetery - A witch haunts this old cemetery, the wind does not blow at the cemetery even though its on top of a round hill. This place even made TIME magazine years ago as one of the most haunted places on earth. If you go there late enough y",Chautauqua County,Kansas,-96.1868274,37.1280891
Derby,"you can often read the tombstones, and you'll all of a sudden feel that someone is their, it is un explainable. it is also said apparitions can be seen every once in a while",Derby cemetery,Kansas,-97.2628773,37.5413175
Dodge City,still stands and in use as a retirement home for old solders. The building there is 150 years old and holds many spirits and is not for the faint of heart.,Fort Dodge,Kansas,-99.963396,37.7408005
Dodge City,Barn - This is a old barn at the edge of Ft. Dodge at 3:30 every morning all the light come on and all of the doors come open even the door at the very top of the barn the one they threw hay out of nobody new why this happened so the security guard did s,Ft. Dodge,Kansas,-99.963396,37.7408005
Dodge City,"(Now Soul Intermediate Center) - An old high school built in the 1800's. The true nature of the haunting has been lost in legend and lies, but one thing still holds true, there are ghosts in the halls in the basement of the school and the library. Severa",Old Dodge City High School,Kansas,-100.0447332,37.7825488
Dodge City,"Saint Mary's is an old church (no longer used) which is connected to the college. A nun was walking down the first flight of stairs near the doors and had tripped and fallen to her death. From personal experience, (the doors usually arent locked), you ca",Saint Mary's,Kansas,-100.007651,37.7753807
Ellis,"Lockers slamming, The toilet in the girls bathroom flushes by itself all of the time, accompanied by chills.",Ellis High School,Kansas,-99.5594342,38.9288608
Ellis,"In the bottom of the Railroad Museum there is an old jail cell, (used for storage.) It is said that during the flood of 58 there was still someone locked up in the cell. He drowned and died, and up to this day you can noises and see figures walk past the",Jail Cell,Kansas,-99.5616172,38.9400082
Emporia,"There is an old one lane bridge in the country south of Empor that a preacher and his mistress had drugged his wife and pushed her car over the side into the water below. Late at night, if you are in that area, you can here the screams of a woman and see",Bird Bridge,Kansas,-96.1148706,38.3658441
Fort Irwin,the fire alarm often go off in this building. The alarm wires are no longer hooked up because the fire marshal and the fire department are tired of going and resetting the alarms.,Community Hospital,Kansas,-96.7684631,39.0830205
Fort Riley,has a woman wrapped in chains that frequently haunts there.,The Artillery Parade Field,Kansas,-96.7798502,39.0682635
Fort Riley,used to be the polo field is haunted by two gentleman on horseback playing Polo and they aren't exactly the most congenial of gentlemen they get upset when they are interrupted.,The Infantry Parade Field,Kansas,-96.8099772,39.110058
Fort Riley,Witnesses report seeing the apparition of an old nurse/caretaker.,Main Post,Kansas,-96.7806537,39.0720627
Fort Riley,There is a spot around Moon Lake that has a Chiefs Circle. If you camp any where near the circle you start seeing what looks like fire flies that are in sets of two and stay low to the ground and don't separate. If you are awake when it happens they will,Moon Lake,Kansas,-96.8032837,39.074028
Fort Scott,There have been hundreds of sightings here of soldiers from the Civil War and fog-like apparitions sifting up the chimney in the officers' quarters. This fort was built in the 1800's during Bleeding Kansas and border wars with Missouri. People have also,Old Fort,Kansas,-94.704733,37.8436307
Galena,There is a grave of a so-called-witch hidden in the back of a cemetery on a tall hill north of the town. People have stayed there overnight to see if it was haunted just to hear weird sounds like mumbling and sometimes see a strange figure walking around,Witch's grave,Kansas,-94.6916164,37.067285
Garden City,In the small town of Garden City across from Stevens park. There are some very old apartments. Which were closed for disclosed reasons. Some believe a boy had a jealous uncle. Who was jealous of his brother because he stole his girlfriend and told their,Main Street's Brocken Home,Kansas,-100.8724538,37.9703264
Greatbend,"The rock - It is said that the ghost of Indians battling can be heard, Also a few years ago a man killed his wife's lover there it is said ghosts remain from this as well.",Pawnee Rock,Kansas,-98.9821631,38.2723361
Hartner,"it is very very haunted. In the 1st floor men's room it is always 15 to 20 degrees cooler the rest of the building and you feel as if you are being watched. In the basement there is the old morgue and you can see bloody footprints on the floor, walls",Auchenba,Kansas,-98.6506283,37.0189418
Hays,"In 1867, a drummer named Ephriam Polly and his wife Elizabeth, stopped at Fort Hays. While staying there, a terrible Cholera epidemic struck the fort. It is not known what happened to Ephriam, but Elizabeth Polly stayed on at the fort tirelessly nursing",Old Fort Hays,Kansas,-99.341484,38.862995
Holcomb,"A janitor was cleaning a bathroom when he fell, hit his head, and died. He comes once a year at midnight and rings the school bell.",Holcomb Elementary School,Kansas,-100.988126,37.9876564
Hutchinson,5th Floor - Witnesses have seen and heard a ghost of a woman She seems to be all in white. Files and different items turn up missing of messed with. Also doors slamming.,City Court House,Kansas,-97.9366618,38.0538773
Hutchinson,"The ghost that is reputed to haunt the Hutchinson Public library is that of former librarian, Ida Day Holzapfel.",Hutchinson Public Library,Kansas,-97.9324631,38.0632079
Hutchinson,late at night when you are alone you will often here doors slamming shut. the seats of the theatre will often open and shut by them selves. In 2001 a custodian reported hearing glass break. when officials investigated they found a broken fire extinguishe,fox theatre,Kansas,-97.9309,38.0538
Hutchinson,"The Ghost of a former priest has been seen walking the halls of this high school. He is said to be watching over the students as walks the halls. Most incidents occurred at night, and have been witnessed by faculty, and some students.",Trinity Catholic High School,Kansas,-97.9028647,38.0727176
Independence,"LeHunt is an old abandoned cement plant outside of Independence, now in ruins. Also onsite is an old cemetery. The ruins are said to be haunted by the ghost of a worker who died there. There is also evidence that people have gathered there to perform som",LeHunt,Kansas,-95.7519248,37.2692337
Kansas city,"Now on the historical registry. The ""story"" goes that the owner left his wife to go off to war during the Civil war. She received a letter toward the end of the war from him stating that he would arrive on a particular ferry and to wait for him there. Sh","Sauer ""castle""",Kansas,-94.6332489,39.0686599
Larned,Larned State Hospital's Dillon Building is haunted by former patients. Ghostly apparitions have been seen on the East 2 unit of Dillon building.,Larned State Hospital,Kansas,-99.1508984,38.1714275
Lawrence,"There is an original cornerstone that was used to rebuild the hotel after Quatril's Raid burned it down. On the 5th level, room 506 contains a ""portal spirit to the spirit world. There have been examples of flashing lights, breath marks on recently clean",Eldridge Hotel,Kansas,-95.236257,38.971029
Lawrence,Indian children crying and roaming about the campus looking for their parents.,Haskell Indian school,Kansas,-95.2333404,38.9377658
Lawrence,Haskell is a know sight for countless paranormal activity. The campus itself dates back to the 1800's when the US Government built Haskell Institute to help control the Native American population and assimilate them into mainstream America. Native Americ,Haskell Indian Nations University,Kansas,-95.2333404,38.9377658
Lawrence,"Bell Tower - From the bell tower of the church people often will feel someone watching them while walking past the building. The building has a basement that has a section that has been sealed off, for reasons unknown. Most feel that whatever is behind t",Haskell Indian Nations University,Kansas,-95.2333404,38.9377658
Lawrence,Haskell auditorium - is said to house a spirit that can be seen sitting in the auditorium enjoying a show. People have also heard the sound of a little girl crying in the backstage area.,Haskell Indian Nations University,Kansas,-95.2333404,38.9377658
Lawrence,Hiawatha Hall - is the oldest building on the campus and was built by the Methodist church in order to bring Christianity to the Native children. The church has been closed for decades and possession of the building has been assumed by the Government and,Haskell Indian Nations University,Kansas,-95.2333404,38.9377658
Lawrence,Pocahontas Hall - is the freshmen girls dormitory and has been reported to have a haunted basement. The story goes that a girl hung her self in the basement which houses the girls laundry facilities. To this day most people will not go down in the baseme,Haskell Indian Nations University,Kansas,-95.2333404,38.9377658
Lawrence,Just south of Taminend Hall - there is a small cemetery with about 70 markers of children who died from a smallpox epidemic that plagued the city of Lawrence for a good year. When you approach the cemetery don't be afraid if you start to hear the sound o,Haskell Indian Nations University,Kansas,-95.2333404,38.9377658
Lawrence,"Originally a church, the Lawrence Community Theatre is home to a mysterious presence. Lights habitually malfunction, set pieces and props move seemingly on their own, and many report a feeling of being watched.",The Lawrence Community Theatre,Kansas,-95.3025591,38.973086
Lawrence,is said to be a gateway to the afterlife. I have been there once. It is closed off and one risks an overnight stay in the Douglas county jail if they are caught trespassing. It is an old cemetery surrounding an abandoned church. Legend holds that any obj,Stull Cemetery,Kansas,-95.4538653,38.9715686
Lawrence,Sigma Nu Fraternity -  Apparently the ghost of the mistress of a former governor who lived there. She hung herself and is now sighted every once in a while. Some ghost hunters came to town and agreed that something was there. It was Ed Warren and his wif,University of Kansas,Kansas,-95.2557961,38.9543439
Lawrence,"Shadowy, darkly clad individual is said to roam the halls of the school in the early evening and throughout the night. This entity is reported to have been seen on many occasions by staff working late at night.Janitors have reported having seen the s",Wakaruse Elementary School,Kansas,-95.3154114,38.8996225
Lindsborg,There's an old farm house in Lindsborg that no one whether it be day or night can miss the unmistakable black tarry looking mist or something that will crawl rapidly and aimlessly along the grass of the property or even in the house crawling up the walls,Old Farm near Coronado Heights,Kansas,-97.7029775,38.6121276
Louisburg,A young boy who attended the school years back had committed suicide due to being bullied. It is said that he roams the halls late in the night in search of revenge.,Louisburg Middle School,Kansas,-94.669091,38.6197513
Lyons,There is a lady in white who is said to haunt this salt mine and is looking for her child who got stolen and killed and her husband got killed in the old salt mine so if you go there at night you will see the lady in white.,Old Salt Mine,Kansas,-98.191406,38.3331074
Manhattan,at this place you get a really bad feeling and you can see a one red eye on a full moon.,Cedar Creek Cemetery,Kansas,-96.551839,39.2702737
Manhattan,"Founded at Kansas State in 1957 the Gamma Phi's are haunted by an old house mom who was murdered by the cook in jealous affair. it is said that when chicken nuggets are cooked inside the house blood curdling screams can be heard. needless to say, chick",Kansas State University -Gamma Phi Beta Sorority,Kansas,-96.5847249,39.1974437
Manhattan,On the k-state campus is haunted by several ghosts. nick a football player killed in a tragic accident rearranges chairs and makes loud bangings. Another ghost is that of a confederate soldier that sits in a phantom chair atop the stage.,The Purple Masque Theater,Kansas,-96.5849931,39.1868562
McPherson,"The Cedars is a retirement center, one of the past residents of the south unit used to walk up and down the halls with a funny little hat on, years after he died new residents of the facility who had never met him say during some nights the see a figure",The Cedars,Kansas,-97.652883,38.379907
Mission,There have been sightings of a ghost haunting the choir room in the basement.,St. Michaels and All Angels Episcopal Church,Kansas,-94.649981,39.008156
Montgomery,"Dale apartments - Tenants describe shadow phenomenon, as well as noises from nowhere, doors slamming, screams from nowhere, etc.",Coffeyville,Kansas,-95.6163665,37.0373005
Mulvane,Late at night somebody prepares pizza crust. It has been said when the store is opened in the mornings the music is playing loud. At one table it appears that somebody has eaten a full course meal.,Pizza Hut,Kansas,-97.2450636,37.4881777
Ness City,In the 1960's the second floor was rented as apartments to some older women. After the passed away nobody else every lived there. To this day many people claim to hear footsteps in the hallway and when you check to see if anyone was coming there would be,Old Ness County Bank Building,Kansas,-99.9052691,38.4540034
Newton,Haunted by an old lady that walks around in olden day cloths very white she is in an old gray dress when followed her she disappears.,Old Mill Plaza,Kansas,-97.3458168,38.043933
Nickerson,"Reports of a gaudian spirit, sometimes looking like a woman, other times a strange light or a demon. The legend is if you have famiy burried there then you will never be harmed.",Nickerson grave yard,Kansas,-98.0932445,38.1583957
Olathe,"This location is the former Olathe Naval Air Station, a combat pilot training center from WWII through the Vietnam era. The base was turned over to the local Johnson County Government in the Early 1970s and converted into a commercial airport, industrial",New Century Air Center,Kansas,-94.8914828,38.831083
