Place_Name,Address,City,Rating,Total_Rati,Latitude,Longitude,Type,Descriptio
Greenwood County Historical Society,"120 W 4th St, Eureka",Eureka,5.00000000000,2,37.82239620000,-96.29519360000,"museum, tourist_attraction, point_of_interest, establishment",Family members and I visited  this museum recently for the first time.  We were particularly interested in the Teterville oilfield area where my parents and sister lived.  The three volunteers who stayed late to help us were amazing representatives of bo
Teter Rock,"2555 300th, Eureka",Eureka,4.80000000000,173,38.02956270000,-96.42356370000,"point_of_interest, establishment",Really enjoyed visiting Teeter Rock. The road to it is a long dusty country gravel road but is an enjoyable ride. The pathway up to the top of the hill where the rock is placed is long ( close to a mile) but my small 4x2 truck made it up effortlessly. I
Historic Frisco Railroad Bridge,"M98V+33, Keighley",Keighley,5.00000000000,2,37.66521290000,-96.60736460000,"point_of_interest, establishment","Very cool old railroad bridge, wish there was no graffiti ! It's in sketchy area!"
Coffey County Historical Museum,"1101 Neosho St, Burlington",Burlington,4.60000000000,41,38.19443100000,-95.74932600000,"museum, tourist_attraction, point_of_interest, establishment","Amazing place, was only using their parking lot on this day. It's a big city museum snuggled into a small Midwest town."
Hartford Calaboose,"300 Commercial St, Hartford",Hartford,5.00000000000,2,38.30811100000,-95.95777550000,"point_of_interest, establishment","A small metal calaboose in Hartford, Kansas"
Covered Rail Bridge New Albany KS,Fredonia,Fredonia,5.00000000000,4,37.58224170000,-95.95612930000,"point_of_interest, establishment","This spot is gorgeous. I've only been able to visit this bridge on a cloudy day but it's set up to be stellar for photography. I mean a river, a rail bridge and a road bridge all conjoin in the same spot. Better yet, from the east side you could capture"
Higgin?ÇÖs Ranch,"3855 KS-99, Madison",Madison,5.00000000000,1,38.16815480000,-96.15827110000,"point_of_interest, establishment",
Altoona Mill Falls,"227-229 River St, Altoona",Altoona,4.50000000000,37,37.52281210000,-95.66519920000,"tourist_attraction, point_of_interest, establishment",Used to fish here and explore all the time growing up. You could always find old bricks and sometimes old glass bottles from the mid 20th century if you got lucky.
Historical Marker,"KS-177 Scenic, Cassoday",Cassoday,4.50000000000,6,38.11933890000,-96.59662250000,"point_of_interest, establishment",Interesting information about the area
Old Mill Dam,"Mill Dam Rd, Fredonia",Fredonia,4.60000000000,42,37.51461610000,-95.84913750000,"tourist_attraction, point_of_interest, establishment",Awesome old mill and dam. Very scenic. Road down to Fall River is very rough so parking at top of mill near water plant and walking down is probably a better choice if you don't have 4WD and more importantly high clearance.
Kalida Castle Cave,"964 Osage Rd, Yates Center",Yates Center,4.20000000000,5,37.85958210000,-95.70246210000,"tourist_attraction, point_of_interest, establishment",It looks neat from the road. But the owners had the gate locked. Bummer
Bluestem Pasture Region,Matfield Green,Matfield Green,5.00000000000,2,38.09457200000,-96.57995910000,"point_of_interest, establishment",Beautiful preserved natural prairie.
North Branch Otter Creek Bridge 1908,"Co Rd 24, Piedmont",Piedmont,5.00000000000,5,37.69085700000,-96.38035000000,"point_of_interest, establishment",Triple stone arch bridge built in 1908. Can still go down and walk across it.
Wilson County Historical Society,"420 N 7th St, Fredonia",Fredonia,0.00000000000,0,37.53438150000,-95.82629660000,"museum, library, point_of_interest, establishment",No description available
Knute Rockne Memorial,Matfield Green,Matfield Green,0.00000000000,0,38.23591000000,-96.58670300000,"tourist_attraction, point_of_interest, establishment",No description available
