Place_Name,Address,City,Rating,Total_Rati,Latitude,Longitude,Type,Descriptio
Greenwood County Historical Society,"120 W 4th St, Eureka",Eureka,5.0,2,37.8223962,-96.2951936,"museum, tourist_attraction, point_of_interest, establishment",Family members and I visited  this museum recently for the first time.  We were particularly interested in the Teterville oilfield area where my parents and sister lived.  The three volunteers who stayed late to help us were amazing representatives of bo
Teter Rock,"2555 300th, Eureka",Eureka,4.8,173,38.0295627,-96.4235637,"point_of_interest, establishment",Really enjoyed visiting Teeter Rock. The road to it is a long dusty country gravel road but is an enjoyable ride. The pathway up to the top of the hill where the rock is placed is long ( close to a mile) but my small 4x2 truck made it up effortlessly. I
Historic Frisco Railroad Bridge,"M98V+33, Keighley",Keighley,5.0,2,37.6652129,-96.6073646,"point_of_interest, establishment","Very cool old railroad bridge, wish there was no graffiti ! It's in sketchy area!"
Coffey County Historical Museum,"1101 Neosho St, Burlington",Burlington,4.6,41,38.194431,-95.749326,"museum, tourist_attraction, point_of_interest, establishment","Amazing place, was only using their parking lot on this day. It's a big city museum snuggled into a small Midwest town."
Hartford Calaboose,"300 Commercial St, Hartford",Hartford,5.0,2,38.308111,-95.9577755,"point_of_interest, establishment","A small metal calaboose in Hartford, Kansas"
Covered Rail Bridge New Albany KS,Fredonia,Fredonia,5.0,4,37.5822417,-95.9561293,"point_of_interest, establishment","This spot is gorgeous. I've only been able to visit this bridge on a cloudy day but it's set up to be stellar for photography. I mean a river, a rail bridge and a road bridge all conjoin in the same spot. Better yet, from the east side you could capture"
Higgin?ÇÖs Ranch,"3855 KS-99, Madison",Madison,5.0,1,38.1681548,-96.1582711,"point_of_interest, establishment",
Altoona Mill Falls,"227-229 River St, Altoona",Altoona,4.5,37,37.5228121,-95.6651992,"tourist_attraction, point_of_interest, establishment",Used to fish here and explore all the time growing up. You could always find old bricks and sometimes old glass bottles from the mid 20th century if you got lucky.
Historical Marker,"KS-177 Scenic, Cassoday",Cassoday,4.5,6,38.1193389,-96.5966225,"point_of_interest, establishment",Interesting information about the area
Old Mill Dam,"Mill Dam Rd, Fredonia",Fredonia,4.6,42,37.5146161,-95.8491375,"tourist_attraction, point_of_interest, establishment",Awesome old mill and dam. Very scenic. Road down to Fall River is very rough so parking at top of mill near water plant and walking down is probably a better choice if you don't have 4WD and more importantly high clearance.
Kalida Castle Cave,"964 Osage Rd, Yates Center",Yates Center,4.2,5,37.8595821,-95.7024621,"tourist_attraction, point_of_interest, establishment",It looks neat from the road. But the owners had the gate locked. Bummer
Bluestem Pasture Region,Matfield Green,Matfield Green,5.0,2,38.094572,-96.5799591,"point_of_interest, establishment",Beautiful preserved natural prairie.
North Branch Otter Creek Bridge 1908,"Co Rd 24, Piedmont",Piedmont,5.0,5,37.690857,-96.38035,"point_of_interest, establishment",Triple stone arch bridge built in 1908. Can still go down and walk across it.
Wilson County Historical Society,"420 N 7th St, Fredonia",Fredonia,0.0,0,37.5343815,-95.8262966,"museum, library, point_of_interest, establishment",No description available
Knute Rockne Memorial,Matfield Green,Matfield Green,0.0,0,38.23591,-96.586703,"tourist_attraction, point_of_interest, establishment",No description available
Location of Aiken and Sons Mill,"H7VC+3H, Guilford",Guilford,0.0,0,37.592738,-95.728606,"point_of_interest, establishment",No description available
Wilson County Historic Clock Tower,Fredonia,Fredonia,0.0,0,37.5348168,-95.8272437,"point_of_interest, establishment",No description available
Wineglass Ramps,"4402 Main St, New Albany",New Albany,4.0,3,37.5691289,-95.9381855,"point_of_interest, establishment",Best backyard ramp ever. No Kooks!
Fort Row,"20517 Harper Rd, Fredonia",Fredonia,0.0,0,37.6683801,-95.8330553,"point_of_interest, establishment",No description available
Ivanpah School,"Township Rd 38, Eureka",Eureka,5.0,2,37.8981077,-96.4978654,"point_of_interest, establishment",It's fenced off. Looks like private property. Cool visit nevertheless.
Trego County Historical Society Museum,"128 N 13th St, WaKeeney",WaKeeney,4.8,24,39.024872,-99.8712702,"museum, tourist_attraction, point_of_interest, establishment","A beautiful spacious museum, beautifully organized with occasional seating for when you need a rest. Pleasant knowledgeable staff. Highly recommend this museum!"
Ellis County Historical Society,"100 W 7th St, Hays",Hays,3.7,9,38.8697144,-99.3323813,"museum, library, tourist_attraction, point_of_interest, establishment",Some things you don?ÇÖt forget. The horrible experience here is one.
Fort Hays State Historic Site,"1472 US Highway 183 Alt, Hays",Hays,4.6,222,38.862995,-99.341484,"tourist_attraction, museum, point_of_interest, establishment",This is a great place to see how the old forts were laid out during the westward expansion. They have been able to preserve two of the officers' homes and the enlisted men's barracks. The foundations are shown for the commanding officer's home that was s
Twin Mounds,"76J4+53, Waldo",Waldo,5.0,2,39.2804701,-98.7948155,"point_of_interest, establishment",Native American Mounds
Rush County Historical Museum,"Grass Park, 202 1st St, La Crosse",La Crosse,4.6,5,38.5245324,-99.3121834,"museum, point_of_interest, establishment","Lots to see, great people running it."
1872 Gernon House,"818 N Kansas St, Russell",Russell,5.0,1,38.8934628,-98.8587858,"museum, point_of_interest, establishment",
Barbed Wire Museum,"120 1st St, La Crosse",La Crosse,4.6,56,38.5246153,-99.311587,"museum, tourist_attraction, point_of_interest, establishment","Great museum that?ÇÖs kind of nondescript from the outside. You?ÇÖll see the two large balls of barbed wire.
Once inside it has multiple large rooms that are super carefully curated. There?ÇÖs a nice woman that takes care of the museum and keep it super"
Bob Dole's Childhood Home,"1035 N Maple St, Russell",Russell,5.0,2,38.8957563,-98.8608065,"point_of_interest, establishment",Took a drive by the home. It is private residence so didn?ÇÖt want to linger too long.  Interesting to see how people grew up.
Replica Statue of Liberty,"Bickerdyke Park, 300 N Lincoln St, Russell",Russell,5.0,1,38.8889587,-98.8625372,"point_of_interest, establishment",Great replica of Lady Liberty located on the north end of the park.
Iwo Jima Memorial,"704 S 13th St, WaKeeney",WaKeeney,1.0,2,39.0119027,-99.8710076,"point_of_interest, establishment",No longer there.   Will search nearby Veterans Cemetery to see of moved there.
Paradise Water Tower,Paradise,Paradise,5.0,4,39.1179884,-98.9158879,"point_of_interest, establishment",These FFA students from Eastern Kansas helped a family that lost their home to praire fires.
McCracken Historical Museum,"212 Main St, McCracken",McCracken,5.0,3,38.5839816,-99.5696358,"museum, point_of_interest, establishment",There are two museums and they open by appointment. The Paper Moon museum is awesome and has a lot of items from when parts of the movie were filmed in McCracken Kansas. The Historic Museum offers a look at the last jail and lots of items regarding local
The Pioneer Family,"1001 Cedar St, Victoria",Victoria,0.0,0,38.8571332,-99.1514786,"point_of_interest, establishment",No description available
William J Harkleroad Memorial Point,"Creekside Park, 500 Taylor St, Ellis",Ellis,0.0,0,38.9449203,-99.5652009,"point_of_interest, establishment",No description available
Russell County Historical Society and Genealogy Society,"331 N Kansas St, Russell",Russell,5.0,1,38.888509,-98.8583798,"point_of_interest, establishment",
Frontier Historical Park,"Old Hwy 40, Hays",Hays,4.6,336,38.8637386,-99.3389522,"park, tourist_attraction, point_of_interest, establishment","We stopped at Frontier Historical Park to specifically see the bison, notably the ?Çÿghost buffalo,?ÇÖ Ghostbuster. We were surprised to see/learn that Ghostbuster was brought in many years ago, and there is a brand new, unadvertised even more white baby"
Heym-Oliver House,"503 N Kansas St, Russell",Russell,0.0,0,38.8903454,-98.8584526,"point_of_interest, establishment",No description available
Sternberg Museum of Natural History,"3000 Sternberg Dr, Hays",Hays,4.7,726,38.8890706,-99.2997841,"museum, tourist_attraction, point_of_interest, establishment",We had such a great experience overall. The museum is super clean and easy to navigate. They have a variety of things on display from mineral and fossils to live animals and interactive activities. We throughly enjoyed the dinosaurs on display now and my
Old US 40 Service Station,"600 W 10th St, Ellis",Ellis,0.0,0,38.9371854,-99.5676589,"point_of_interest, establishment",No description available
Boot Hill Cemetery,"1806 Fort St, Hays",Hays,4.2,60,38.8784129,-99.3278616,"park, tourist_attraction, point_of_interest, establishment",Interesting place tucked away in what?ÇÖs now a neighborhood. Hard to imagine nothing there except the cemetery 100+ years ago. Makes you wonder how many people are still buried in the yards of the neighborhood today.
Nicodemus National Historic Site,"304 Washington Ave, Bogue",Bogue,4.7,281,39.3933595,-99.6146777,"tourist_attraction, point_of_interest, establishment",Arrived 15 minutes before opening but the Rangers opened up with the upmost politeness and was very knowledgeable with our questions. Wish everyone in that office the best in life!
Nicodemus Historical Society,"611 5th St, Bogue",Bogue,4.7,3,39.3882245,-99.6187108,"museum, tourist_attraction, point_of_interest, establishment","This place is interesting, how it got started and how Nicodemus became the town it is today."
Trego County Historical Society Museum,"128 N 13th St, WaKeeney",WaKeeney,4.8,24,39.024872,-99.8712702,"museum, tourist_attraction, point_of_interest, establishment","A beautiful spacious museum, beautifully organized with occasional seating for when you need a rest. Pleasant knowledgeable staff. Highly recommend this museum!"
Amos H. Boultinghouse Homestead,"S 190th Ave, Osborne",Osborne,5.0,1,39.4448404,-98.8416056,"point_of_interest, establishment",The Amos Boultinghouse Homestead is in the Tilden Township.
John W. Guyer Homestead,Osborne,Osborne,5.0,1,39.3872881,-98.8370732,"point_of_interest, establishment",John W Guyer Homestead is a nice homestead in Kill Creek Township. It is near Kill Creek. Raccoons roam the area.
John Storer Homestead,Alton,Alton,5.0,1,39.4668102,-98.8063551,"point_of_interest, establishment",The John Storer Homestead is near Bloomington in Tilden Township.
