state,county,population
 Alabama,Autauga County,58805
 Alabama,Baldwin County,231767
 Alabama,Barbour County,25223
 Alabama,Bibb County,22293
 Alabama,Blount County,59134
 Alabama,Bullock County,10357
 Alabama,Butler County,19051
 Alabama,Calhoun County,116441
 Alabama,Chambers County,34772
 Alabama,Cherokee County,24971
 Alabama,Chilton County,45014
 Alabama,Choctaw County,12665
 Alabama,Clarke County,23087
 Alabama,Clay County,14236
 Alabama,Cleburne County,15056
 Alabama,Coffee County,53465
 Alabama,Colbert County,57227
 Alabama,Conecuh County,11597
 Alabama,Coosa County,10387
 Alabama,Covington County,37570
 Alabama,Crenshaw County,13194
 Alabama,Cullman County,87866
 Alabama,Dale County,49326
 Alabama,Dallas County,38462
 Alabama,DeKalb County,71608
 Alabama,Elmore County,87977
 Alabama,Escambia County,36757
 Alabama,Etowah County,103436
 Alabama,Fayette County,16321
 Alabama,Franklin County,32113
 Alabama,Geneva County,26659
 Alabama,Greene County,7730
 Alabama,Hale County,14785
 Alabama,Henry County,17146
 Alabama,Houston County,107202
 Alabama,Jackson County,52579
 Alabama,Jefferson County,674721
 Alabama,Lamar County,13972
 Alabama,Lauderdale County,93564
 Alabama,Lawrence County,33073
 Alabama,Lee County,174241
 Alabama,Limestone County,103570
 Alabama,Lowndes County,10311
 Alabama,Macon County,19532
 Alabama,Madison County,388153
 Alabama,Marengo County,19323
 Alabama,Marion County,29341
 Alabama,Marshall County,97612
 Alabama,Mobile County,414809
 Alabama,Monroe County,19772
 Alabama,Montgomery County,228954
 Alabama,Morgan County,123421
 Alabama,Perry County,8511
 Alabama,Pickens County,19123
 Alabama,Pike County,33009
 Alabama,Randolph County,21967
 Alabama,Russell County,59183
 Alabama,St. Clair County,91103
 Alabama,Shelby County,223024
 Alabama,Sumter County,12345
 Alabama,Talladega County,82149
 Alabama,Tallapoosa County,41311
 Alabama,Tuscaloosa County,227036
 Alabama,Walker County,65342
 Alabama,Washington County,15388
 Alabama,Wilcox County,10600
 Alabama,Winston County,23540
 Alaska,Aleutians East Borough,3420
 Alaska,Aleutians West Census Area,5232
 Alaska,Anchorage Municipality,291247
 Alaska,Bethel Census Area,18666
 Alaska,Bristol Bay Borough,844
 Alaska,Chugach Census Area,7102
 Alaska,Copper River Census Area,2617
 Alaska,Denali Borough,1619
 Alaska,Dillingham Census Area,4857
 Alaska,Fairbanks North Star Borough,95655
 Alaska,Haines Borough,2080
 Alaska,Hoonah-Angoon Census Area,2365
 Alaska,Juneau City and Borough,32255
 Alaska,Kenai Peninsula Borough,58799
 Alaska,Ketchikan Gateway Borough,13948
 Alaska,Kodiak Island Borough,13101
 Alaska,Kusilvak Census Area,8368
 Alaska,Lake and Peninsula Borough,1476
 Alaska,Matanuska-Susitna Borough,107081
 Alaska,Nome Census Area,10046
 Alaska,North Slope Borough,11031
 Alaska,Northwest Arctic Borough,7793
 Alaska,Petersburg Borough,3398
 Alaska,Prince of Wales-Hyder Census Area,5753
 Alaska,Sitka City and Borough,8458
 Alaska,Skagway Municipality,1240
 Alaska,Southeast Fairbanks Census Area,6808
 Alaska,Wrangell City and Borough,2127
 Alaska,Yakutat City and Borough,662
 Alaska,Yukon-Koyukuk Census Area,5343
 Arizona,Apache County,66021
 Arizona,Cochise County,125447
 Arizona,Coconino County,145101
 Arizona,Gila County,53272
 Arizona,Graham County,38533
 Arizona,Greenlee County,9563
 Arizona,La Paz County,16557
 Arizona,Maricopa County,4420568
 Arizona,Mohave County,213267
 Arizona,Navajo County,106717
 Arizona,Pima County,1043433
 Arizona,Pinal County,425264
 Arizona,Santa Cruz County,47669
