osm_id,code,fclass,name
357757354,3104,christian_lutheran,Immanuel State Line Lutheran Church
358087838,3100,christian,First Church of the Nazarene of Kansas City
358087972,3100,christian,Saint Mary Magdalene Episcopal Church
358623052,3100,christian,Grandview Church
358623056,3100,christian,Mount Zion Church
358623105,3100,christian,Pleasant Valley Church
358623116,3100,christian,Hicks Chapel
358623236,3100,christian,Wesley Chapel
358623238,3100,christian,Spring Hill Church
358623269,3100,christian,Center Church
358623272,3100,christian,Pleasant Hill Church
358623296,3100,christian,Elm Church
358623347,3100,christian,Friends Church
358623356,3100,christian,Blue Mound Church
358623366,3100,christian,Pleasantview Church
358623459,3100,christian,Spring Valley Church
358623460,3100,christian,Zion Hill Church
358623515,3100,christian,Bethlehem Church
358623569,3100,christian,Lone Cherry Church
358623630,3100,christian,Pleasant View Church
358623637,3100,christian,Council Corner Church
358623706,3100,christian,Maple Grove Church
358623723,3100,christian,Harrison Church
358623729,3100,christian,Otterbein Church
358623738,3100,christian,Excelsior Church
358623772,3100,christian,Green Elm Church
358623790,3100,christian,Lebanon Church
358623792,3100,christian,Osage Church
358623795,3100,christian,Round Prairie Church
358623804,3100,christian,Osage Church
358623812,3100,christian,Mount Olive Church
358623886,3100,christian,Center Bethel Church
358623897,3100,christian,Center Chapel
358623952,3100,christian,Hopewell Church
358623969,3100,christian,Pleasant Hill Church
358623980,3100,christian,Hazel Dell Church
358623983,3100,christian,Pleasant Dale Church
358624006,3100,christian,Choteau Chapel
358624031,3100,christian,Sycamore Valley Church
358624065,3100,christian,Belknap Church
358624131,3100,christian,Emmanuel Church
358624156,3100,christian,Prairie View Church
358624161,3100,christian,Timber Creek Church
358624162,3100,christian,Mount Hope Church
358624193,3100,christian,Evangelical Church
358624264,3100,christian,Chicaskia Church
358624268,3100,christian,Walnut Valley Church
358624294,3100,christian,Council Hill Church
358624357,3100,christian,Slate Valley Church
358624461,3100,christian,Crystal Springs Church
358624470,3100,christian,Union Church
358624475,3100,christian,Bethel Church
358624569,3100,christian,Lone Star Church
358624589,3100,christian,Emmanuel Church
358624608,3100,christian,Bethel Church
358624631,3100,christian,Friends Chapels
358624636,3100,christian,Elsie Chapel
358624712,3100,christian,Antioch Church
358624723,3100,christian,South Fork Church
358624731,3100,christian,Saint Johns Church
358624741,3100,christian,Saint Cyril Church (Razed)
358624745,3100,christian,Trinity Church
358624765,3100,christian,Prairie Chapel
358624767,3100,christian,Sherman Chapel
358624785,3100,christian,Maple Grove Church
358624803,3100,christian,Salem Church
358624826,3100,christian,Herndon Covenant Church
358624891,3100,christian,Stevens Chapel
358624909,3100,christian,Lund Church
358624930,3100,christian,Prairie Gem Church
358624941,3100,christian,Prairie Rose Church
358624943,3100,christian,Wesley Chapel
358624961,3100,christian,McGraw Church
358625029,3100,christian,Immanuel Church
358625068,3100,christian,Mingo Bible Church
358625088,3100,christian,Mount Pleasant Church
358625100,3100,christian,Saint John Church
