name,city,longitude,latitude
Goldamer Cemetery,Dodge City,-100.907233,37.772977
Haskell Cemetery,Sublette,-100.875721,37.554617
Buda Cemetery,Ness City,-100.17585,38.289848
Old Mission Cemetery,Wichita,-97.29671099,37.724458
Fairview Cemetery,Cheney,-97.78610799,37.619584
Saint John Catholic Cemetery,Lenexa,-94.74181284,38.96698995
Aubry Cemetery,Stilwell,-94.67087499,38.781441
Ogallah Cemetery,Ogallah,-99.72429799,38.992601
Rago Cemetery,Spivey,-98.07410799,37.459038
Arlington Cemetery,Arlington,-98.16788001,37.9054977
Saint Paul Evangelical Church Cemetery,Bluff City,-97.82329137,37.11071478
Ensminger Cemetery,Bronson,-95.06038899,37.943228
Burrton Cemetery,Burrton,-97.6756662,38.014977
Delhi Cemetery,Osborne,-98.52802999,39.155335
Pleasant View Cemetery,Logan,-99.55340799,39.673493
Spring Branch Cemetery,Woodstown,-99.05849014,39.50972779
Greencrest Memorial Garden,Dodge City,-100.0523546,37.76127159
Mount Herman Cemetery,Paradise,-98.94442696,39.13324784
St. Mary's Cemetery,Ellis,-99.54920273,38.9420679
Nickel Cemetery,McCracken,-99.47514701,38.63978787
Sumner Cemetery,Alton,-98.93408299,39.479768
Wilson Cemetery,Clay Center,-97.19002299,39.379996
Pleasant Valley Cemetery,Gardner,-95.03607899,38.848062
Sweet Home Cemetery,Lebanon,-98.54654199,39.785513
Reno Cemetery,Tonganoxie,-95.11635182,39.05039173
Kechi Cemetery,Wichita,-97.30054499,37.801631
Zion Cemetery,Smith Center,-98.91721799,39.843704
Scheiller Cemetery,Enterprise,-97.11085099,38.866946
Green Lawn Cemetery,Abilene,-97.31609199,38.791464
Woodstown Cemetery,Woodstown,-99.12740208,39.43688811
Plum Creek Cemetery,Phillipsburg,-99.18959999,39.850458
Pleasant Valley Cemetery,Wright,-99.90520134,37.79316754
Boles Cemetery,Shawnee,-94.87271999,39.029286
Grinnell Cemetery,Grinnell,-100.634828,39.130188
Edwardsville Cemetery,Kansas City,-94.82013423,39.07269864
Wyandotte County Cemetery,Kansas City,-94.79814852,39.12251814
Shawnee Mission Memory Gardens,Shawnee,-94.85735499,38.991457
Bohemian Cemetery,Rush Center,-99.19814765,38.44439007
St. Anthony Cemetery,Hanston,-99.72478742,38.11718424
Luctor Cemetery,Prairie View,-99.54279908,39.85754925
Twin Mound Cemetery,Plainville,-99.23275363,39.28533942
Agra Cemetery,Agra,-99.12280499,39.757238
Bow Creek Cemetery,Glade,-99.27014461,39.56769953
Kitterville Cemetery,Jetmore,-100.154468,38.190131
Fairview Cemetery,Fulton,-94.71326341,38.0308714
Bird Cemetery,Weir,-94.706725,37.323821
Pleasant Hill Cemetery,Pretty Prairie,-97.86224999,37.756838
New Basel Cemetery,Abilene,-97.19045003,38.755159
Germantown Cemetery,Smith Center,-99.04464999,39.829751
Sacred Heart Catholic Cemetery,Colwich,-97.54297588,37.77965882
Rinehart Cemetery,Chapman,-96.96417099,38.902552
Holy Cross Cemetery,Rush Center,-99.17968645,38.46006387
Center Cemetery,Plainville,-99.20569559,39.20501683
Vansburgh Cemetery,Brownell,-99.77088199,38.624764
Winona Cemetery,Winona,-101.240434,39.077042
Oak Lawn Memorial Gardens,Olathe,-94.75861099,38.875278
Memorial Park Cemetery,Kansas City,-94.64664599,39.146756
Lutheran Cemetery,Otis,-99.06991613,38.52936109
Johnson Cemetery,Stockton,-99.19428846,39.34916389
St. Peters Evangelical Lutheran Cemetery,Prairie View,-99.52099869,39.72699742
Mount Allen Cemetery,Hays,-99.32003405,38.88434795
McCracken Cemetery,McCracken,-99.57757899,38.575724
St. Michaels Cemetery,La Crosse,-99.29486799,38.531224
Lexington Cemetery,Ashland,-99.58446099,37.323321
St. Andrew Cemetery,Buckeye,-99.38871599,39.033344
Wade Cemetery,Fall River,-96.08835786,37.54412921
Oxford Cemetery,Oxford,-97.17670799,37.287524
Jones Cemetery,Canton,-97.3862999,38.38345727
Golden Cemetery,Augusta,-97.01725899,37.635851
Colusa Cemetery,Copeland,-100.657327,37.663402
Valley View Cemetery,Garden City,-100.86741,37.995099
Bohemian Cemetery,Kirin,-99.04280099,39.619045
Randall Cemetery,Jewell,-98.04755386,39.64699227
Pierceville Cemetery,Garden City,-100.665512,37.886071
Terra Cotta Cemetery,Carneiro,-97.96310299,38.747785
United States Penitentiary in Leavenworth Cemetery,Leavenworth,-94.95054009,39.33136916
Oak Grove Cemetery,Fort Scott,-94.69667499,37.862693
Monmouth Cemetery,McCune,-94.94945699,37.353824
Columbus Cemetery,Columbus,-94.81134499,37.162561
Mission Cemetery,Newton,-97.16260144,38.05794922
Navarre Cemetery,Abilene,-97.10821305,38.79529727
White Chapel Memorial Gardens,Wichita,-97.27587799,37.717513
Reflection Point Cemetery,Wichita,-97.22707208,37.63487534
Wichita Hebrew Cemetery,Wichita,-97.27967036,37.71971343
Caldwell Cemetery,Formoso,-97.95032299,39.726675
Woodbine Cemetery,Herington,-96.96388453,38.79272309
Cedar Cemetery,Cedar,-98.84297399,39.660415
Webber Cemetery,Webber,-98.0356459,39.9278675
Saint Johns Cemetery,Wakefield,-97.07449499,39.219528
Wichita Park Cemetery,Wichita,-97.29643299,37.727791
Maize Cemetery,Maize,-97.48967399,37.778641
Pleasant Ridge Cemetery,Goddard,-97.56310299,37.677791
Esbon Cemetery,Esbon,-98.419419,39.814087
Russell Springs Cemetery,Russell Springs,-101.204771,38.917128
Sharon Springs Cemetery,Sharon Springs,-101.751005,38.917231
Springdale Friends Cemetery,McLouth,-95.12358095,39.25333205
Cleveland Cemetery,Burr Oak,-98.19421499,39.930569
Mount Muncie Cemetery,Lansing,-94.88912999,39.269446
Green Valley Cemetery,Valley Center,-97.16975999,37.88418
St. John the Baptist Cemetery,Ness City,-99.69595399,38.341682
Zion Lutheran Cemetery,Clay Center,-97.15613099,39.292773
Fairview Cemetery,Smith Center,-98.78731803,39.79722108
White Cloud Cemetery,Abilene,-97.35339199,39.074602
Saint Columbia Cemetery,Gardner,-94.90955199,38.840344
Impel Cemetery,Tonganoxie,-95.01941199,39.098058
Saint Joseph Catholic Cemetery,Shawnee,-94.72314899,39.017222
Toper Cemetery,Garden City,-100.956587,38.032342
Woodland Cemetery,Stilwell,-94.61233744,38.81137582
Downs Cemetery,Downs,-98.55312099,39.510011
Ramsey Cemetery,Brownell,-99.64151299,38.57502899
Grand Center Cemetery,Naomi,-98.760198,39.146848
Mount Hope Cemetery,Kansas City,-94.67051399,39.129448
Garfield Cemetery,Cimarron,-100.382699,38.174777
Tensquatawa Burial Ground,Kansas City,-94.67359999,39.0716
Oakdale Cemetery,Downs,-98.51532099,39.52349
Fairview Cemetery,Abilene,-97.27086199,38.740991
Pleasant Prairie Cemetery,Randall,-98.062656,39.589353
Saint Joseph Cemetery,Abilene,-97.22123299,38.943458
Cedar Hill Cemetery,Smith Center,-98.65519499,39.886758
Huron Cemetery,Kansas City,-94.6260066,39.11470823
St. Michael's Cemetery,Collyer,-100.115365,39.03158
Saint Johns Cemetery,Herington,-96.93849499,38.639004
Spickelmire Cemetery,Columbus,-94.97162699,37.173396
Northway Cemetery,Mapleton,-94.93287799,37.993485
Old Langdon Cemetery,Arlington,-98.25256599,37.89057
Garden of Memories Cemetery,Pittsburg,-94.70644599,37.507533
Cavalry Cemetery,Danville,-97.89505699,37.279489
Tweedy Cemetery,Garland,-94.66801699,37.709766
Greenwood Cemetery,Wichita,-97.41591199,37.605511
Sunset Memory Gardens,Leavenworth,-94.96551999,39.3
Zimmerman Cemetery,Osborne,-98.65719699,39.321818
Lucerne Cemetery,Jennings,-100.213,39.495097
Union Cemetery,Galena,-94.63996499,37.122085
Walnut Cemetery,Walnut,-95.07003599,37.629034
Upchurch Cemetery,Norwich,-97.87239257,37.47281728
Woods Cemetery,Redfield,-94.89604668,37.84937633
Elkhorn Cemetery,Barnard,-98.0132059,39.14695294
Union Valley Cemetery,Barnard,-98.09821704,39.17521416
Bethany Baptist Cemetary,Lincoln,-98.26272472,39.17545527
