state,county,population
 Alabama,Autauga County,"58,805"
 Alabama,Baldwin County,"231,767"
 Alabama,Barbour County,"25,223"
 Alabama,Bibb County,"22,293"
 Alabama,Blount County,"59,134"
 Alabama,Bullock County,"10,357"
 Alabama,Butler County,"19,051"
 Alabama,Calhoun County,"116,441"
 Alabama,Chambers County,"34,772"
 Alabama,Cherokee County,"24,971"
 Alabama,Chilton County,"45,014"
 Alabama,Choctaw County,"12,665"
 Alabama,Clarke County,"23,087"
 Alabama,Clay County,"14,236"
 Alabama,Cleburne County,"15,056"
 Alabama,Coffee County,"53,465"
 Alabama,Colbert County,"57,227"
 Alabama,Conecuh County,"11,597"
 Alabama,Coosa County,"10,387"
 Alabama,Covington County,"37,570"
 Alabama,Crenshaw County,"13,194"
 Alabama,Cullman County,"87,866"
 Alabama,Dale County,"49,326"
 Alabama,Dallas County,"38,462"
 Alabama,DeKalb County,"71,608"
 Alabama,Elmore County,"87,977"
 Alabama,Escambia County,"36,757"
 Alabama,Etowah County,"103,436"
 Alabama,Fayette County,"16,321"
 Alabama,Franklin County,"32,113"
 Alabama,Geneva County,"26,659"
 Alabama,Greene County,"7,730"
 Alabama,Hale County,"14,785"
 Alabama,Henry County,"17,146"
 Alabama,Houston County,"107,202"
 Alabama,Jackson County,"52,579"
 Alabama,Jefferson County,"674,721"
 Alabama,Lamar County,"13,972"
 Alabama,Lauderdale County,"93,564"
 Alabama,Lawrence County,"33,073"
 Alabama,Lee County,"174,241"
 Alabama,Limestone County,"103,570"
 Alabama,Lowndes County,"10,311"
 Alabama,Macon County,"19,532"
 Alabama,Madison County,"388,153"
 Alabama,Marengo County,"19,323"
 Alabama,Marion County,"29,341"
 Alabama,Marshall County,"97,612"
 Alabama,Mobile County,"414,809"
 Alabama,Monroe County,"19,772"
 Alabama,Montgomery County,"228,954"
 Alabama,Morgan County,"123,421"
 Alabama,Perry County,"8,511"
 Alabama,Pickens County,"19,123"
 Alabama,Pike County,"33,009"
 Alabama,Randolph County,"21,967"
 Alabama,Russell County,"59,183"
 Alabama,St. Clair County,"91,103"
 Alabama,Shelby County,"223,024"
 Alabama,Sumter County,"12,345"
 Alabama,Talladega County,"82,149"
 Alabama,Tallapoosa County,"41,311"
 Alabama,Tuscaloosa County,"227,036"
 Alabama,Walker County,"65,342"
 Alabama,Washington County,"15,388"
 Alabama,Wilcox County,"10,600"
 Alabama,Winston County,"23,540"
 Alaska,Aleutians East Borough,"3,420"
 Alaska,Aleutians West Census Area,"5,232"
 Alaska,Anchorage Municipality,"291,247"
 Alaska,Bethel Census Area,"18,666"
 Alaska,Bristol Bay Borough,844
 Alaska,Chugach Census Area,"7,102"
 Alaska,Copper River Census Area,"2,617"
 Alaska,Denali Borough,"1,619"
 Alaska,Dillingham Census Area,"4,857"
 Alaska,Fairbanks North Star Borough,"95,655"
 Alaska,Haines Borough,"2,080"
 Alaska,Hoonah-Angoon Census Area,"2,365"
 Alaska,Juneau City and Borough,"32,255"
 Alaska,Kenai Peninsula Borough,"58,799"
 Alaska,Ketchikan Gateway Borough,"13,948"
 Alaska,Kodiak Island Borough,"13,101"
 Alaska,Kusilvak Census Area,"8,368"
 Alaska,Lake and Peninsula Borough,"1,476"
 Alaska,Matanuska-Susitna Borough,"107,081"
 Alaska,Nome Census Area,"10,046"
 Alaska,North Slope Borough,"11,031"
 Alaska,Northwest Arctic Borough,"7,793"
 Alaska,Petersburg Borough,"3,398"
 Alaska,Prince of Wales-Hyder Census Area,"5,753"
 Alaska,Sitka City and Borough,"8,458"
 Alaska,Skagway Municipality,"1,240"
