Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Humboldt Historical Society,"416 N 2nd St, Humboldt",Humboldt,4.4,14,37.8142285,-95.44530329999999,"museum, tourist_attraction, point_of_interest, establishment",My only regret is not staying longer! We were unsure how much time we could spend looking around and only planned for about 30 minutes. We could have easily spent hours there digesting all the amazing history of the area. The staff were so welcoming as well. Definitely worth the visit!
Allen County Historical Society,"20 S Washington Ave, Iola",Iola,4.8,26,37.9215804,-95.40575390000001,"museum, point_of_interest, establishment",It is an extremely fascinating place to learn the history of Allen County and view different artifacts from past!
Greenwood County Historical Society,"120 W 4th St, Eureka",Eureka,5,2,37.8223962,-96.29519359999999,"museum, tourist_attraction, point_of_interest, establishment","Family members and I visited  this museum recently for the first time.  We were particularly interested in the Teterville oilfield area where my parents and sister lived.  The three volunteers who stayed late to help us were amazing representatives of both their craft and community.  Never have I experienced a more knowledgeable, helpful crew.  Thank you for all you did."
William Allen White Historic,"927 Exchange St, Emporia",Emporia,4.9,39,38.4096192,-96.1753485,"museum, tourist_attraction, point_of_interest, establishment",Wonderful tour! Loved all the artifacts that they had on display. Really made the tour kid friendly for our 4th graders!
Northrup House,"315 East St, Iola",Iola,4.6,8,37.9219756,-95.4000976,"point_of_interest, establishment",Good job on painting it Nich Lohman! 😁👍
Dietrich Cabin,"City Park, Ottawa",Ottawa,4.3,15,38.6106064,-95.26795109999999,"tourist_attraction, museum, point_of_interest, establishment",Visited a few months ago and only saw the outside. Visited today for the open house and had a wonderful time. Becky the guide was very knowledgeable and made this visit wonderful. She made my husband interested in the history and he kept wanting to know more.
Historic Ottawa Trail Bridge (West),"JP95+V3, Ottawa",Ottawa,5,1,38.6196954,-95.2922834,"point_of_interest, establishment","I was born and raised in Ottawa, Kansas and ever sing I was a kid I always hung out with my friends down at the Ottawa second Steeet Dam. The Dam itself isn’t directly connected to this bridge but you can go through the woods like we used to do..

Or just leave Second Street Dam and enter Hope Cemetery, drive to the far northwestern corner and you’ll find the wooden stairs leading up to the Flint Hills Nature Trail.

Follow the trail and you’ll find this beautiful and historic 1903 Warren Truss Through bridge named the “Historic Ottawa Trail Bridge (West)”. The city of Ottawa and others have beautifully restored this whole area and are working around the clock to restore and reconstruct the trail ☺️

Many thanks for bringing this bridge back to life! I see so many more people back here hiking, biking, fishing and so much else since it’s been restored!

+ Subscribe to Ridin with Dryden on YouTube +"
Lyon County History Center,"711 Commercial St, Emporia",Emporia,4.5,49,38.4066724,-96.1803561,"museum, tourist_attraction, point_of_interest, establishment","We visited for the playroom and exhibits.
We were very impressed with the play area: it seems like an enriching place for all ages.  There's a variety of activities, including magnet poetry, Legos, a play garden, shop, and house, and much more.
The exhibits are fun, but I don't want to spoil anything. Suffice to say, I enjoy local history, and there's plenty here."
Red Rocks State Historic Site,"927 Exchange St, Emporia",Emporia,4,25,38.4096136,-96.1753485,"tourist_attraction, museum, point_of_interest, establishment","William Allen White's historic home called Red Rocks is an interesting place steeped in history. It has been restored and they have done a marvelous job in making it appear to be lived in.

I was surprised by the size of the interior; it is much larger than I had anticipated. Some of it is ornate and some of it is rather common.

It has many interesting photographs of famous people, I was surprised to see a photograph of William Allen White and Albert Einstein and it looks like it was taken in the same room where the photograph is displayed among many others.

The artifacts and furniture are well-preserved; it is easy to imagine the White family living there.

In one of the photographs you will see the admission price and hours of operation; I hope that is helpful.

In addition to the home, a visitor center is in the spacious backyard. Moreover an old black Cadillacs is a garage-like structure in the driveway.

Around Christmas time they may have an open house with holiday music and carolers. It is only for one afternoon and only one day. Although that is when I visited, I would have paid the full admission price. Expect to pay full price at other times.

I live in the same neighborhood several blocks away and it is relatively safe. Parking should not be an issue. In addition, William Allen White Elementary School is across the street with a playground if you are bringing younger children along."
Osage County Historical Society,"631 Topeka Ave, Lyndon",Lyndon,4.6,12,38.6096926,-95.6842973,"museum, point_of_interest, establishment","Courteous, helpful, and knowledgeable about the contents there. One time visit is probably not enough time to find all they have that one may want for their research."
Coffey County Historical Museum,"1101 Neosho St, Burlington",Burlington,4.6,41,38.19443100000001,-95.749326,"museum, tourist_attraction, point_of_interest, establishment","Amazing place, was only using their parking lot on this day. It's a big city museum snuggled into a small Midwest town."
Hartford Calaboose,"300 Commercial St, Hartford",Hartford,5,2,38.308111,-95.9577755,"point_of_interest, establishment","A small metal calaboose in Hartford, Kansas"
Arvonia School House,"32381 S Arvonia Rd, Lebo",Lebo,4.6,10,38.4783058,-95.87080929999999,"point_of_interest, establishment","Very beautiful structure, excellently preserved throughout the years with a well distinguished plaque out front to commemorate its History."
Arthur Capper Memorial,"508-500 S Cedar St, Garnett",Garnett,4.3,3,38.2798604,-95.23615459999999,"tourist_attraction, point_of_interest, establishment",
Higgin’s Ranch,"3855 KS-99, Madison",Madison,5,1,38.1681548,-96.1582711,"point_of_interest, establishment",
The Coca-Cola Silo,"3521-3669 W 18th Ave, Emporia",Emporia,4.3,37,38.4193267,-96.22677999999999,"tourist_attraction, point_of_interest, establishment","It’s a bit withered away, the paint but it still stands tall with enough color to keep most of the iconic brand logo alive! You can even read the ingredients on the side and the “Original” remark and much else.

If you stop in Emporia, you should definitely snap a quick pic here!

+ Subscribe to Ridin with Dryden on YouTube +"
Lebo City Calaboose,"101 W Broadway St, Lebo",Lebo,5,1,38.4150504,-95.8593932,"point_of_interest, establishment","The beautiful, well preserved calaboose in Frankfort, Kansas."
Old Depot Museum,"135 W Tecumseh St, Ottawa",Ottawa,4.7,142,38.620439,-95.269717,"tourist_attraction, museum, point_of_interest, establishment","We truly enjoyed our stop at this museum on the Prairie Spirit State Park trailhead. What made our visit so great was our visit with Mike, the museum guide. He was so anxious to talk to us about the exhibits and point out things we wouldn't want to miss. It is two-stories, that include a large model train town on the first floor, and an old one-room classroom, Victorian living room, kitchen, ice cream parlor, and a general store on the second floor. We stayed over an hour to see all the items that Mike pointed out. We loved the story about the Naked Voters! The museum is free but everyone will want to contribute to the donation box."
Kate Burnett Historical Marker,"RH67+66J, Humboldt",Humboldt,5,1,37.8105875,-95.4369844,"point_of_interest, establishment",
The Cross-MacTaggart House,"526 Union St, Emporia",Emporia,5,1,38.4047111,-96.1761149,"point_of_interest, establishment",Ross gives a great tour.
