Place Name,Address,City,Rating,Total Ratings,Latitude,Longitude,Type,Description
Greenwood County Historical Society,"120 W 4th St, Eureka",Eureka,5.0,2,37.8223962,-96.2951936,"museum, tourist_attraction, point_of_interest, establishment","Family members and I visited  this museum recently for the first time.  We were particularly interested in the Teterville oilfield area where my parents and sister lived.  The three volunteers who stayed late to help us were amazing representatives of both their craft and community.  Never have I experienced a more knowledgeable, helpful crew.  Thank you for all you did."
Teter Rock,"2555 300th, Eureka",Eureka,4.8,173,38.02956270000001,-96.42356370000002,"point_of_interest, establishment","Really enjoyed visiting Teeter Rock. The road to it is a long dusty country gravel road but is an enjoyable ride. The pathway up to the top of the hill where the rock is placed is long ( close to a mile) but my small 4x2 truck made it up effortlessly. I chose to drive very slowly since it’s not maintained in any way.

When we were there on Memorial Day weekend the wild mustangs were visible nearby."
Historic Frisco Railroad Bridge,"M98V+33, Keighley",Keighley,5.0,2,37.6652129,-96.6073646,"point_of_interest, establishment","Very cool old railroad bridge, wish there was no graffiti ! It's in sketchy area!"
Coffey County Historical Museum,"1101 Neosho St, Burlington",Burlington,4.6,41,38.19443100000001,-95.749326,"museum, tourist_attraction, point_of_interest, establishment","Amazing place, was only using their parking lot on this day. It's a big city museum snuggled into a small Midwest town."
Hartford Calaboose,"300 Commercial St, Hartford",Hartford,5.0,2,38.308111,-95.9577755,"point_of_interest, establishment","A small metal calaboose in Hartford, Kansas"
Covered Rail Bridge New Albany KS,Fredonia,Fredonia,5.0,4,37.5822417,-95.9561293,"point_of_interest, establishment","This spot is gorgeous. I've only been able to visit this bridge on a cloudy day but it's set up to be stellar for photography. I mean a river, a rail bridge and a road bridge all conjoin in the same spot. Better yet, from the east side you could capture the convergence with the sun setting in behind it. Could be a really cool shot. I'll be back with a tripod and better timing next time."
Higgin’s Ranch,"3855 KS-99, Madison",Madison,5.0,1,38.1681548,-96.1582711,"point_of_interest, establishment",
Altoona Mill Falls,"227-229 River St, Altoona",Altoona,4.5,37,37.5228121,-95.6651992,"tourist_attraction, point_of_interest, establishment",Used to fish here and explore all the time growing up. You could always find old bricks and sometimes old glass bottles from the mid 20th century if you got lucky.
Historical Marker,"KS-177 Scenic, Cassoday",Cassoday,4.5,6,38.1193389,-96.5966225,"point_of_interest, establishment",Interesting information about the area
Old Mill Dam,"Mill Dam Rd, Fredonia",Fredonia,4.6,42,37.5146161,-95.8491375,"tourist_attraction, point_of_interest, establishment",Awesome old mill and dam. Very scenic. Road down to Fall River is very rough so parking at top of mill near water plant and walking down is probably a better choice if you don't have 4WD and more importantly high clearance.
Kalida Castle Cave,"964 Osage Rd, Yates Center",Yates Center,4.2,5,37.8595821,-95.7024621,"tourist_attraction, point_of_interest, establishment",It looks neat from the road. But the owners had the gate locked. Bummer
Bluestem Pasture Region,Matfield Green,Matfield Green,5.0,2,38.094572,-96.5799591,"point_of_interest, establishment",Beautiful preserved natural prairie.
