Place_Name,City,Latitude,Longitude,State
"""Four Horsemen of the Lines"" Marker",Horton,39.6711021,-95.5270499,Kansas
"""Four Horsemen of the Lines"" Marker",Horton,39.6711021,-95.5270499,Kansas
1139 Steam Engine,Dodge City,37.7530206,-100.022025,Kansas
1139 Steam Engine,Dodge City,37.7530206,-100.022025,Kansas
1139 Steam Engine,Dodge City,37.7530206,-100.022025,Kansas
1872 Gernon House,Russell,38.8934628,-98.8587858,Kansas
1872 Gernon House,Russell,38.8934628,-98.8587858,Kansas
1872 Gernon House,Russell,38.8934628,-98.8587858,Kansas
1872 Gernon House,Russell,38.8934628,-98.8587858,Kansas
1886 Stage Coach Mile Marker,Ellsworth,38.7462563,-98.262562,Kansas
1886 Stage Coach Mile Marker,Ellsworth,38.7462563,-98.262562,Kansas
1886 Stage Coach Mile Marker,Ellsworth,38.7462563,-98.262562,Kansas
1886 Stage Coach Mile Marker,Ellsworth,38.7462563,-98.262562,Kansas
1886 Stage Coach Mile Marker,Ellsworth,38.7462563,-98.262562,Kansas
1889 McInteer Villa,Atchison,39.5632838,-95.1334962,Kansas
1889 McInteer Villa,Atchison,39.5632838,-95.1334962,Kansas
1889 McInteer Villa,Atchison,39.5632838,-95.1334962,Kansas
1889 McInteer Villa,Atchison,39.5632838,-95.1334962,Kansas
1907 Girl Scout Little House,Ashland,37.1908147,-99.7716576,Kansas
1907 Girl Scout Little House,Ashland,37.1908147,-99.7716576,Kansas
1907 Girl Scout Little House,Ashland,37.1908147,-99.7716576,Kansas
A Day On The Trail Historical Marker,Overland Park,38.9840857,-94.6718358,Kansas
Achenbach Memorial Park,Hardtner,37.0179138,-98.6498183,Kansas
Albany Historical Society,Sabetha,39.9362486,-95.797851,Kansas
Albany Historical Society,Sabetha,39.9362486,-95.797851,Kansas
Albany Historical Society,Sabetha,39.9362486,-95.797851,Kansas
Allegawaho Memorial Heritage Park,Council Grove,38.6257382,-96.4315409,Kansas
Allegawaho Memorial Heritage Park,Council Grove,38.6257382,-96.4315409,Kansas
Allegawaho Memorial Heritage Park,Council Grove,38.6257382,-96.4315409,Kansas
Allegawaho Memorial Heritage Park,Council Grove,38.6257382,-96.4315409,Kansas
Allegawaho Memorial Heritage Park,Council Grove,38.6257382,-96.4315409,Kansas
Allen County Historical Society,Iola,37.9215804,-95.4057539,Kansas
Allen County Historical Society,Iola,37.9215804,-95.4057539,Kansas
Allen County Historical Society,Iola,37.9215804,-95.4057539,Kansas
Allen County Historical Society,Iola,37.9215804,-95.4057539,Kansas
Allen County Historical Society,Iola,37.9215804,-95.4057539,Kansas
Allen County Historical Society,Iola,37.9215804,-95.4057539,Kansas
Allen County Historical Society,Iola,37.9215804,-95.4057539,Kansas
Allen County Historical Society,Iola,37.9215804,-95.4057539,Kansas
Allen County Historical Society,Iola,37.9215804,-95.4057539,Kansas
Altoona Mill Falls,Altoona,37.5228121,-95.6651992,Kansas
Altoona Mill Falls,Altoona,37.5228121,-95.6651992,Kansas
Altoona Mill Falls,Altoona,37.5228121,-95.6651992,Kansas
Altoona Mill Falls,Altoona,37.5228121,-95.6651992,Kansas
Altoona Mill Falls,Altoona,37.5228121,-95.6651992,Kansas
Altoona Mill Falls,Altoona,37.5228121,-95.6651992,Kansas
Altoona Mill Falls,Altoona,37.5228121,-95.6651992,Kansas
Amelia Earhart Memorial Statue,Atchison,39.5618651,-95.1184219,Kansas
Amelia Earhart One Acre Earth Portrait,Atchison,39.5378136,-95.1449691,Kansas
Amelia Park Bridge,Lincolnville,38.4462421,-96.9660795,Kansas
Amelia Park Bridge,Lincolnville,38.4462421,-96.9660795,Kansas
Amelia Park Bridge,Lincolnville,38.4462421,-96.9660795,Kansas
Amos H. Boultinghouse Homestead,Osborne,39.4448404,-98.8416056,Kansas
Amos H. Boultinghouse Homestead,Osborne,39.4448404,-98.8416056,Kansas
Amos H. Boultinghouse Homestead,Osborne,39.4448404,-98.8416056,Kansas
Amos H. Boultinghouse Homestead,Osborne,39.4448404,-98.8416056,Kansas
Amphitheater at Memorial Peace Park,Medicine Lodge,37.271854,-98.5523587,Kansas
